date,hash,message,author_name,url
2024-03-13T14:01:09Z,b79e28b2c30e7ef9b1f7ec6233eeb70a1a177231,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/b79e28b2c30e7ef9b1f7ec6233eeb70a1a177231
2024-03-13T11:25:50Z,8ffd5458ff850ae556069ed61ec111cefa0a31ea,"Make the attach-session description clearer - do not mention creating a
client which is not important, explicitly say the session must exist,
and mention new-session and new-session -A. Prompted by Theo.",nicm,https://github.com/tmux/tmux/commit/8ffd5458ff850ae556069ed61ec111cefa0a31ea
2024-03-07T00:01:10Z,b54e1fc4f73b34f3f9c671289fef8cbbc7771d9c,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/b54e1fc4f73b34f3f9c671289fef8cbbc7771d9c
2024-03-06T21:45:26Z,bdb6321229ac122c3c5f341b606f26cbee0d74df,Update lock.yml.,Nicholas Marriott,https://github.com/tmux/tmux/commit/bdb6321229ac122c3c5f341b606f26cbee0d74df
2024-03-06T21:32:39Z,bd29a48b56ae649d425fd6939d60f75d79d767da,"Check for the right flag to fix split-window -p, from Bryan Childs.",nicm,https://github.com/tmux/tmux/commit/bd29a48b56ae649d425fd6939d60f75d79d767da
2024-03-06T21:29:28Z,f3f1c3db58292f0899bb6cfe69b17b62d4368777,"Add missing headers, from Marvin Schmidt.",Nicholas Marriott,https://github.com/tmux/tmux/commit/f3f1c3db58292f0899bb6cfe69b17b62d4368777
2024-02-13T10:20:18Z,608d113486835515e7a89b1511704440c68ae817,next-3.5,Nicholas Marriott,https://github.com/tmux/tmux/commit/608d113486835515e7a89b1511704440c68ae817
2024-02-13T10:17:07Z,9ae69c3795ab5ef6b4d760f6398cd9281151f632,3.4.,Nicholas Marriott,https://github.com/tmux/tmux/commit/9ae69c3795ab5ef6b4d760f6398cd9281151f632
2024-02-13T10:01:10Z,0960862950476a5a519905487d731a8b843d07c2,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/0960862950476a5a519905487d731a8b843d07c2
2024-02-13T09:12:08Z,44ad25b3673cf9fddc92ed122e51cd9beb50d4f7,Update CHANGES.,Nicholas Marriott,https://github.com/tmux/tmux/commit/44ad25b3673cf9fddc92ed122e51cd9beb50d4f7
2024-02-13T08:10:23Z,40b97b1715182b0ab0274b0c402b34e2cba98f04,"Add two new values for the destroy-unattached option to destroy sessions
only if they are not members of sessions groups, from Mark Huang, GitHub
issue 3806.",nicm,https://github.com/tmux/tmux/commit/40b97b1715182b0ab0274b0c402b34e2cba98f04
2024-02-13T08:03:50Z,4bdb855020d266ea0a480a53e13c806fcaad9b45,"Do not allow paste into panes which have exited, from Romain Francoise
in GitHub issue 3830.",nicm,https://github.com/tmux/tmux/commit/4bdb855020d266ea0a480a53e13c806fcaad9b45
2024-01-22T18:01:09Z,ea7136fb838a2831d38e11ca94094cea61a01e3a,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/ea7136fb838a2831d38e11ca94094cea61a01e3a
2024-01-22T16:34:46Z,428f8a9b2884093b5f40b64797753871ddfa67b0,"Increase buffer size to avoid truncating styles, GitHub issue 3809 from
Ricardo Bittencourt.",nicm,https://github.com/tmux/tmux/commit/428f8a9b2884093b5f40b64797753871ddfa67b0
2024-01-17T10:59:07Z,84faada25b610dff7ab00ce97101e9bae30eb54c,Remove existing defines.,Nicholas Marriott,https://github.com/tmux/tmux/commit/84faada25b610dff7ab00ce97101e9bae30eb54c
2024-01-17T10:57:32Z,55d0abad892e472b6e6f130efaed48cf5c5145b5,Need htonll and ntohll.,Nicholas Marriott,https://github.com/tmux/tmux/commit/55d0abad892e472b6e6f130efaed48cf5c5145b5
2024-01-17T09:47:35Z,7d91b4b90b1eac9fe04a2fab22013bfbb9ff5ee1,htobe is not portable.,Nicholas Marriott,https://github.com/tmux/tmux/commit/7d91b4b90b1eac9fe04a2fab22013bfbb9ff5ee1
2024-01-17T09:41:53Z,66369416fc6a50a9800a875173f2af93ed9d5d4d,Update imsg.,Nicholas Marriott,https://github.com/tmux/tmux/commit/66369416fc6a50a9800a875173f2af93ed9d5d4d
