Release Name,Tag Name,Created At,Published At
tmux 3.4,3.4,2024-02-13T10:17:22Z,2024-02-13T10:22:31Z
tmux 3.3a,3.3a,2022-06-09T11:31:07Z,2022-06-09T11:37:28Z
tmux 3.3,3.3,2022-06-01T07:37:29Z,2022-06-01T07:34:28Z
tmux 3.2a,3.2a,2021-06-10T08:28:07Z,2021-06-10T08:34:22Z
tmux 3.2,3.2,2021-04-13T07:38:17Z,2021-04-13T07:45:10Z
tmux 3.1c,3.1c,2020-10-30T12:11:44Z,2020-10-30T12:16:36Z
tmux 3.1b,3.1b,2020-05-04T08:07:09Z,2020-05-04T08:11:10Z
tmux 3.1a,3.1a,2020-04-27T08:38:25Z,2020-04-29T20:03:31Z
tmux 3.1,3.1,2020-04-24T08:58:13Z,2020-02-04T07:26:13Z
tmux 3.0a,3.0a,2019-12-01T08:53:16Z,2019-12-01T08:55:42Z
tmux 3.0,3.0,2019-11-26T13:17:03Z,2019-05-29T10:33:15Z
tmux 2.9a,2.9a,2019-05-01T06:16:27Z,2019-05-01T06:18:48Z
tmux 2.9,2.9,2019-04-24T21:35:29Z,2019-03-26T14:43:38Z
tmux 2.8,2.8,2018-10-17T18:29:48Z,2018-08-17T10:44:17Z
tmux 2.7,2.7,2018-04-03T11:29:32Z,2018-03-22T11:22:25Z
tmux 2.6,2.6,2017-10-05T13:32:09Z,2017-08-29T21:11:57Z
tmux-2.5,2.5,2017-05-29T07:12:58Z,2017-05-09T22:05:28Z
tmux-2.4,2.4,2017-04-20T10:52:35Z,2017-04-20T10:56:37Z
tmux-2.3,2.3,2016-09-29T20:54:41Z,2016-09-29T21:00:42Z
tmux-2.2,2.2,2016-04-11T00:03:37Z,2016-04-11T00:05:18Z
tmux-2.1,2.1,2015-10-18T17:11:07Z,2015-10-18T17:16:32Z
tmux-2.0,2.0,2015-05-05T20:20:41Z,2015-06-04T08:41:16Z
tmux-1.9a,1.9a,2014-02-22T21:00:09Z,2015-06-04T08:40:59Z
tmux-1.9,1.9,2014-02-20T21:33:09Z,2015-06-04T08:40:33Z
tmux-1.8,1.8,2013-03-26T20:19:58Z,2015-06-04T08:40:16Z
tmux-1.7,1.7,2012-10-13T10:56:38Z,2015-06-04T08:39:43Z
tmux-1.6,1.6,2012-01-23T12:59:12Z,2015-06-04T08:39:16Z
tmux-1.5,1.5,2011-07-09T16:10:35Z,2015-06-04T08:38:00Z
tmux-1.4,1.4,2010-12-27T21:37:43Z,2015-06-04T08:37:17Z
tmux-1.3,1.3,2010-07-18T13:41:00Z,2015-06-04T08:36:45Z
tmux-1.2,1.2,2010-03-10T15:18:50Z,2015-06-04T08:36:28Z
tmux-1.1,1.1,2009-11-05T12:35:48Z,2015-06-04T08:35:57Z
tmux-1.0,1.0,2009-09-20T18:54:22Z,2015-06-04T08:35:30Z
tmux-0.9,0.9,2009-07-02T18:26:56Z,2015-06-04T08:35:09Z
tmux-0.8,0.8,2009-04-21T20:10:23Z,2015-06-04T08:34:06Z
